"mean_k","filing_year","Ctry_code"
28.3572991953676,2006.39464882943,"Germany"
22.8799937975317,2006.39464882943,"Switzerland"
43.4313197606977,2006.39464882943,"United States"
48.2416656745116,2006.39464882943,"China"
37.936453447095,2006.4983277592,"Japan"
28.4539341660788,2006.4983277592,"Germany"
22.9140408443918,2006.4983277592,"Switzerland"
43.6265294661583,2006.4983277592,"United States"
48.5923243670849,2006.4983277592,"China"
38.0315403201202,2006.60200668896,"Japan"
28.55056913679,2006.60200668896,"Germany"
22.9480878912519,2006.60200668896,"Switzerland"
43.821739171619,2006.60200668896,"United States"
48.9429830596583,2006.60200668896,"China"
38.1266271931454,2006.70568561873,"Japan"
28.6472041075012,2006.70568561873,"Germany"
22.982134938112,2006.70568561873,"Switzerland"
44.0169488770796,2006.70568561873,"United States"
49.2936417522317,2006.70568561873,"China"
38.2217140661706,2006.8093645485,"Japan"
28.7438390782124,2006.8093645485,"Germany"
23.0161819849721,2006.8093645485,"Switzerland"
44.2121585825402,2006.8093645485,"United States"
49.6443004448051,2006.8093645485,"China"
38.3168009391958,2006.91304347826,"Japan"
28.8404740489237,2006.91304347826,"Germany"
23.0502290318323,2006.91304347826,"Switzerland"
44.4073682880009,2006.91304347826,"United States"
49.9949591373785,2006.91304347826,"China"
38.4116864694648,2007.01672240803,"Japan"
28.9340071774826,2007.01672240803,"Germany"
23.092578055926,2007.01672240803,"Switzerland"
44.6038608240992,2007.01672240803,"United States"
50.3380040551393,2007.01672240803,"China"
38.5055250174013,2007.12040133779,"Japan"
29.0114107268496,2007.12040133779,"Germany"
23.178097361635,2007.12040133779,"Switzerland"
44.8070240795136,2007.12040133779,"United States"
50.6414573438752,2007.12040133779,"China"
38.5993635653378,2007.22408026756,"Japan"
29.0888142762165,2007.22408026756,"Germany"
23.263616667344,2007.22408026756,"Switzerland"
45.010187334928,2007.22408026756,"United States"
50.944910632611,2007.22408026756,"China"
38.6932021132743,2007.32775919732,"Japan"
